Model,Count,PSNR_mean,SSIM_mean,MSE_mean,MAE_mean,RMSE_mean,UIQ_mean,LPIPS_mean,NIQE_mean,BRISQUE_mean,PSNR_std,SSIM_std,LPIPS_std
RetinexNet,100,15.950394568416428,0.6524225625768534,1844.498877902778,35.59130526388889,41.7831269682149,0.6504713811037621,0.4128076782822609,,,2.051817784149859,0.06673952201655778,0.11506343597694002
RetinexTapetum,100,19.247315901585115,0.7734151010110066,997.9152835694445,24.76273601388889,29.77847909023751,0.7754153907163509,0.3669465677440166,,,3.366185642872836,0.0631175202946991,0.09340408351900548
