Method,PSNR ↑,SSIM ↑,MSE ↓,MAE ↓,RMSE ↓,UIQ ↑,LPIPS ↓,NIQE ↓,BRISQUE ↓,Count
RetinexNet,15.9504,0.6524,1844.4989,35.5913,41.7831,0.6505,0.4128,-,-,100
RetinexTapetum,19.2473,0.7734,997.9153,24.7627,29.7785,0.7754,0.3669,-,-,100
