epoch,lambda,gate_r,gate_g,gate_b,train_total,train_l1,train_ssim,train_color,train_attn,train_gate,train_smooth_enh,train_psnr,val_total,val_l1,val_ssim,val_color,val_attn,val_gate,val_smooth_enh,val_psnr
1,0.8478238582611084,1.0045161247253418,1.0045944452285767,1.004429578781128,0.7040733639584031,0.34826779850693634,0.7979943655258002,0.34454159646533256,0.7345199813676435,0.0021127231972736067,0.002239081744635261,8.067550565227961,0.566137847006321,0.2710359512269497,0.6536637669801713,0.27101801842451095,0.9756532543897629,0.004513382911682129,0.002335709726321511,11.213726635677045
2,0.855663537979126,1.0090396404266357,1.0091583728790283,1.0089752674102783,0.6873759994673174,0.335480700745139,0.7837962348793828,0.3307304853616759,0.9711345150027164,0.006801481131290974,0.002443430137138294,8.385477544199695,0.564861755669117,0.2704546399414539,0.6518696033954621,0.27043638586997987,0.9801900994777679,0.009057760238647461,0.00234899829083588,11.236696175309389
3,0.8631207346916199,1.0133534669876099,1.013539433479309,1.0132771730422974,0.6865585737450178,0.33497326457223225,0.7829816029515377,0.32998899994201436,0.9764262278412663,0.011101425419626542,0.0024311749513672536,8.419280877894785,0.5636430314183235,0.26989798843860624,0.6501603668928146,0.26987942203879356,0.9845161736011505,0.01339002512395382,0.002361737118335441,11.25876037707519
4,0.8705540299415588,1.0177149772644043,1.0179327726364136,1.0175716876983643,0.6855645387671715,0.3342650508464769,0.7822387246198432,0.3294024911037711,0.9799249879149503,0.01556368814348135,0.0024599930999778903,8.423846702498862,0.562421987503767,0.2693386366963387,0.6484518885612488,0.2693197438120842,0.9888607889413834,0.017739813774824142,0.0023745417263126,11.281000974106536
5,0.8775840401649475,1.0218075513839722,1.0220434665679932,1.0215437412261963,0.6857133084951446,0.3344633428509845,0.7819256671639376,0.32952180175587187,0.9846117912336837,0.019751889587834824,0.0024336003224625317,8.436638860242677,0.5612684528529645,0.26880909845232964,0.6468427979946136,0.2687898921966553,0.9929153090715408,0.021798253059387207,0.0023866735910996794,11.302119904264542
6,0.8846530318260193,1.0259099006652832,1.0261794328689575,1.0255903005599976,0.6838680200798567,0.3337124419766803,0.7792393301808557,0.32853849301504534,0.9882334685602854,0.02387403441203195,0.0024633749799672948,8.426652449626866,0.5601040875911713,0.26827318474650386,0.6452224010229111,0.26825365126132966,0.9970072084665298,0.025893211364746094,0.00239894196158275,11.323558075815065
7,0.8915920257568359,1.0299075841903687,1.0302289724349976,1.0295344591140747,0.6850606417933176,0.3338665473599767,0.781600987495378,0.328939592422441,0.9924238871696384,0.027892014878087266,0.0024576651333116516,8.415861734364684,0.5589598889648915,0.2677453273534775,0.6436343508958816,0.2677254694700241,1.0010021954774857,0.029890339821577072,0.0024110306252259762,11.344737360315884
8,0.8986221551895142,1.0339652299880981,1.034345269203186,1.0335414409637451,0.6829523499621901,0.3330583390454913,0.7784387122753055,0.32773129451413485,0.996106133904568,0.031932680304487086,0.0025094434981732523,8.456824829824331,0.5577966894209385,0.2672072805464268,0.6420237565040589,0.26718708157539367,1.005061206817627,0.033950649201869965,0.0024233540089335292,11.366391236565029
9,0.9056606292724609,1.038051962852478,1.0384628772735596,1.0375229120254517,0.683420907272849,0.3337883893833604,0.7774865544119547,0.3285806276077448,0.9994949788548225,0.03600996910312841,0.0024946599692474442,8.41710461077108,0.5566294074058533,0.2666659364104271,0.6404118877649307,0.26664539337158205,1.0091227543354035,0.038012586534023285,0.002435758535284549,11.388244369152604
10,0.9125404357910156,1.0420118570327759,1.0424420833587646,1.0414001941680908,0.6829457220643066,0.33333669550890144,0.7773505969102993,0.32813269766264186,1.003696596899698,0.03998903787240039,0.002538455310440081,8.444519873311636,0.555488406419754,0.2661355225741863,0.6388408589363098,0.2661146251857281,1.013062024116516,0.04195138067007065,0.002447906244779006,11.40972271131025
11,0.9194092750549316,1.0459309816360474,1.0464277267456055,1.0452529191970825,0.6831232607364655,0.3343735792955687,0.774896808834963,0.3289615276247956,1.0072902447955554,0.04385448775665705,0.0025498737407804923,8.442223131166738,0.5543475459516048,0.26560385525226593,0.6372741508483887,0.2655826069414616,1.0169824397563934,0.04587054252624512,0.0024600913468748333,11.43131735903042
12,0.9261646270751953,1.0497736930847168,1.0503029823303223,1.0490021705627441,0.6791779620702877,0.3298391322063845,0.7771369995072831,0.3243150194717008,1.0118478758390559,0.04772426772776038,0.0025347050544697533,8.51396879982962,0.5532259397208691,0.265079882889986,0.6357385659217835,0.26505827739834786,1.0208068978786469,0.04969295114278793,0.002472098852158524,11.452664419943275
