epoch,train_total,train_l1,train_ssim,train_color,train_attn,train_smooth_enh,val_total,val_l1,val_ssim,val_color,val_attn,val_smooth_enh,val_psnr,lambda
1,0.6979605084241822,0.3418252804251604,0.8001639953879423,0.3380794296430987,0.7338163554668427,0.0021747888666902517,0.566489220559597,0.27121675401926043,0.6542240309715271,0.2711989234387875,0.9711485403776169,0.002331542475731112,11.20659882502195,0.8479933142662048
2,0.686219489158586,0.33404255433138025,0.7850568467794463,0.32916087501270824,0.964975492898808,0.002416188039459548,0.5655875787138939,0.27082734048366547,0.6530191546678543,0.27080929577350615,0.9711485403776169,0.002340440900879912,11.221962414177924,0.8558740019798279
3,0.6878103877222815,0.33603368976781534,0.7836662627929865,0.3311985715530639,0.9646698742411858,0.0023825875494282605,0.5647361582517624,0.27045891895890234,0.6518832862377166,0.27044066339731215,0.9711485403776169,0.002348859740886837,11.236528395262884,0.8633300065994263
4,0.6859671016072117,0.33396125914052477,0.784600019454956,0.32931438642878863,0.9650243118751881,0.002403934411758687,0.5639100950956345,0.27010083734989165,0.6507829344272613,0.2700823837518692,0.9711485403776169,0.00235704236314632,11.250713964481566,0.8705767393112183
5,0.6836248352084049,0.33272578463304875,0.7821491228979688,0.32772968085699306,0.9649857615315637,0.0024119324638334993,0.5630888006091118,0.2697441990673542,0.6496906232833862,0.2697255417704582,0.9711485403776169,0.0023651921935379503,11.26487070410789,0.8777944445610046
6,0.6836138346860575,0.33265151100796325,0.7823027753552725,0.3277763166399889,0.9646278834620188,0.002435678908558086,0.5622889974713325,0.26939629077911376,0.6486285227537155,0.26937743365764616,0.9711485403776169,0.0023731426399899646,11.278708221010747,0.8848356008529663
7,0.6842960237070571,0.33330871909856796,0.7822427035764207,0.32831922866577323,0.9650019469649292,0.002446615575747781,0.5614936916530132,0.26904974803328513,0.6475739985704422,0.26903068214654924,0.9711485403776169,0.0023810620768927038,11.292518399847172,0.8918492794036865
8,0.6853231316389039,0.33505087605742523,0.7801045047682386,0.3301923484649769,0.9640692631865657,0.002462320613165841,0.5606903009116649,0.2686990766227245,0.6465103673934937,0.2686798031628132,0.9711485403776169,0.0023890758922789244,11.306520321605824,0.8989465236663818
9,0.6847861138887184,0.3345374600138775,0.780208581408789,0.3293535399229027,0.9644089770871539,0.002440278070469842,0.5599119780957699,0.26835874885320665,0.6454815304279328,0.2683392687141895,0.9711485403776169,0.002396853589452803,11.320136047041965,0.9058346748352051
10,0.6836473415064257,0.3329379764753719,0.7816551431666973,0.3277505324330441,0.9647880910440932,0.002498074690540603,0.5591368439793587,0.26801922887563706,0.6444585132598877,0.26799953818321226,0.9711485403776169,0.002404612870304845,11.333745389838967,0.9127064943313599
