image,best_model,best_psnr,worst_model,worst_psnr,spread
00789.png,DecomNetRetinexTapetum,19.25669295924422,RetinexTapetum,10.57022429972398,8.686468659520239
00788.png,DecomNetRetinexTapetum,19.209290092228187,RetinexTapetum,10.564028457509483,8.645261634718704
00742.png,DecomNetRetinexTapetum,19.149768370294613,RetinexTapetum,9.14170578245632,10.008062587838293
00716.png,DecomNetRetinexTapetumRGB,19.011413782998563,RetinexTapetum,12.261504377670885,6.749909405327678
00724.png,DecomNetRetinexTapetumRGB,18.614633311498597,RetinexNet,12.73160436336068,5.883028948137918
00725.png,DecomNetRetinexTapetumRGB,18.36319140732472,RetinexNet,12.630954945761845,5.732236461562875
00766.png,DecomNetRetinexTapetum,18.20846935341247,RetinexTapetum,12.153635412962775,6.054833940449697
00765.png,DecomNetRetinexTapetum,18.18844026517761,RetinexTapetum,12.15025254175915,6.038187723418462
00723.png,RetinexTapetumRGB,17.780093635684334,RetinexNet,12.70579643532461,5.074297200359725
00726.png,RetinexTapetumRGB,17.67194122563446,RetinexNet,12.529566206717684,5.142375018916775
00722.png,RetinexTapetumRGB,17.618073591491967,RetinexNet,12.56228565447756,5.055787937014408
00727.png,DecomNetRetinexTapetumRGB,17.572959307604684,RetinexNet,12.622186558203165,4.950772749401519
00728.png,DecomNetRetinexTapetumRGB,17.543189548297875,RetinexNet,12.585490870926732,4.957698677371143
00717.png,RetinexNet,17.434697076163896,RetinexTapetum,8.322776787566749,9.111920288597148
00718.png,RetinexTapetumRGB,17.407747141119838,RetinexNet,12.363460096496627,5.044287044623211
00719.png,RetinexTapetumRGB,17.37948357865347,RetinexNet,12.368022107504393,5.011461471149078
00696.png,DecomNetRetinexTapetum,17.212282569990972,RetinexTapetum,8.874446114084417,8.337836455906555
00697.png,DecomNetRetinexTapetum,17.200154299664113,RetinexTapetum,8.872094209423837,8.328060090240276
00736.png,DecomNetRetinexTapetumRGB,17.184170067126004,RetinexTapetum,12.852245858902664,4.33192420822334
00735.png,DecomNetRetinexTapetumRGB,17.13748752456237,RetinexTapetum,12.847360605562063,4.290126919000308
00710.png,DecomNetRetinexTapetumRGB,17.10470185545187,RetinexTapetum,10.945251134632851,6.15945072081902
00711.png,DecomNetRetinexTapetumRGB,17.080513565090364,RetinexTapetum,10.927832619164286,6.152680945926077
00782.png,DecomNetRetinexTapetum,16.95796560453926,RetinexTapetum,10.59424752085624,6.363718083683022
00783.png,DecomNetRetinexTapetum,16.95029400671796,RetinexTapetum,10.596398566696827,6.353895440021134
00786.png,RetinexNet,16.93811701576497,RetinexTapetum,8.622214455858504,8.315902559906466
00784.png,RetinexNet,16.930605833852344,RetinexTapetum,8.624661961284326,8.305943872568017
00781.png,DecomNetRetinexTapetum,16.929225515139063,RetinexTapetum,10.598181626500885,6.3310438886381775
00785.png,RetinexNet,16.893298976310323,RetinexTapetum,8.620476576488201,8.272822399822122
00764.png,DecomNetRetinexTapetum,16.7804901194223,RetinexNet,11.916693569501223,4.8637965499210765
00767.png,DecomNetRetinexTapetumRGB,16.751507362697268,RetinexTapetum,10.47601972333285,6.2754876393644174
00763.png,RetinexTapetumRGB,16.69178417856809,RetinexNet,11.554571335915483,5.137212842652605
00746.png,DecomNetRetinexTapetumRGB,16.680861170681524,RetinexTapetum,12.53960727432213,4.141253896359395
00745.png,DecomNetRetinexTapetumRGB,16.661451353675176,RetinexTapetum,12.611002441044878,4.050448912630298
00705.png,RetinexNet,16.48069716358616,RetinexTapetum,6.815056451481782,9.665640712104379
00707.png,RetinexNet,16.41763650559076,RetinexTapetum,6.811367149720462,9.606269355870298
00768.png,RetinexNet,16.15587191061428,RetinexTapetum,10.8823786638178,5.27349324679648
00706.png,RetinexNet,16.12083630243278,RetinexTapetum,6.842543145924428,9.278293156508354
00702.png,RetinexNet,14.189434605828136,RetinexTapetum,6.500289028594253,7.689145577233884
00703.png,RetinexNet,14.18142544526454,RetinexTapetum,6.495185327007836,7.686240118256705
00704.png,RetinexNet,14.14447433677839,RetinexTapetum,6.475544645084793,7.668929691693598
