image,DecomNetRetinexTapetum,DecomNetRetinexTapetumRGB,RetinexNet,RetinexTapetum,RetinexTapetumRGB
00690.png,21.529197192423467,20.265705162309764,16.679919704486505,9.674119872415606,10.004261836180095
00691.png,21.19441152231026,20.03137179906743,16.591585134937528,9.665524083994482,9.99418791277089
00692.png,19.746011458479003,18.746189066486416,18.19193310927009,8.937037527739758,9.175016593295155
00693.png,19.381969090379425,18.24414163637815,18.82792400245051,8.99271784101835,9.238075812795248
00694.png,17.53441610725574,16.406862242893816,19.545999629781,8.485197634845594,8.742715709979375
00695.png,17.535937213513183,16.40729143149326,19.5630443099161,8.482495863057121,8.739664497203764
00696.png,17.212282569990972,16.717498768214075,16.649555885362307,8.874446114084417,9.042661487933199
00697.png,17.200154299664113,16.72216208211967,16.60627030977254,8.872094209423837,9.040094105516745
00698.png,19.575946270402518,18.74724993300559,18.617466966082286,8.9863338271602,9.127220613765555
00699.png,19.553040583326723,18.723870855865282,18.62492778059869,8.993522193467008,9.13513734365136
00700.png,20.73976563501787,22.295775868586006,16.348291943487773,12.799452220400369,13.481633786935843
00701.png,20.835166623472876,22.408163337311912,16.39997749879545,12.799818196575231,13.483308765832525
00702.png,13.076508874784945,12.712955364993055,14.189434605828136,6.500289028594253,6.676370542080927
00703.png,13.057047825093601,12.692674970683486,14.18142544526454,6.495185327007836,6.670722150109485
00704.png,13.01282451297569,12.65039733461978,14.14447433677839,6.475544645084793,6.648805014957707
00705.png,14.336397049331728,13.787676390117419,16.48069716358616,6.815056451481782,6.9542445578397665
00706.png,13.887447575793573,13.317981351086882,16.12083630243278,6.842543145924428,6.98509998526569
00707.png,14.293059187234558,13.75345431791029,16.41763650559076,6.811367149720462,6.9501678907723985
00708.png,21.186678774521596,20.361535694089113,18.570379166589507,10.694931674761264,11.013975843810561
00709.png,21.39775930184523,20.67705226089053,18.554631081382947,10.843975976213136,11.182918455563925
00710.png,16.551144801908144,17.10470185545187,16.821032379318165,10.945251134632851,11.625778547048427
00711.png,16.53163721197348,17.080513565090364,16.80845028959823,10.927832619164286,11.605910478200375
00712.png,16.96436586372996,16.698616363045847,21.70004250278162,9.670032937960876,10.339923662916409
00713.png,16.900189153773756,16.634087931053756,21.628259443964165,9.728300174838456,10.408759107415978
00714.png,20.40685317693177,19.99025757889735,17.275688944025816,12.218018727671874,12.691677221369957
00715.png,20.55233989052686,20.264069948071782,16.818172425208957,12.219044649159922,12.69153509408464
00716.png,17.96327273020635,19.011413782998563,15.837540515057304,12.261504377670885,13.053674212426852
00717.png,14.757277265790187,14.410517668717038,17.434697076163896,8.322776787566749,8.54251591106191
00718.png,15.26677429708569,16.194741757339425,12.363460096496627,15.912805463578493,17.407747141119838
00719.png,15.275543672315937,16.191017106208207,12.368022107504393,15.889858610344639,17.37948357865347
00720.png,25.94562300452499,25.49399550088829,17.05229720347686,12.963826010310902,13.363709056130492
00721.png,25.0761080755864,25.43397041352607,16.24131049270497,12.883795085734926,13.270619470618335
00722.png,17.14372346572041,17.617736761646416,12.56228565447756,16.65611842658648,17.618073591491967
00723.png,17.201061943550428,17.762712634672717,12.70579643532461,16.78517026714807,17.780093635684334
00724.png,17.982109076990813,18.614633311498597,12.73160436336068,15.53521476436776,16.18302754108065
00725.png,17.726345333561802,18.36319140732472,12.630954945761845,15.74256622367188,16.428658953924128
00726.png,16.967440968553223,17.504945210595437,12.529566206717684,16.5908937540965,17.67194122563446
00727.png,17.23478097752459,17.572959307604684,12.622186558203165,16.36218002215728,17.383768360718964
00728.png,17.19989843057254,17.543189548297875,12.585490870926732,16.215692743225862,17.185738764732342
00729.png,15.795814622775342,16.817599171448332,12.455094797019514,19.07888936546612,21.32642842562117
00730.png,15.56220884507669,16.465370052611576,12.297245374587131,18.927320044363594,21.101035353883084
00731.png,20.07127663018565,21.07634286046796,15.332260689275987,14.786366727640644,15.877556484206657
00732.png,19.747172004637697,20.73685298584193,15.063577688882926,14.665870879168196,15.72511582983701
00733.png,20.239471026005273,21.12550691704771,15.908913387215248,14.649682945390143,15.707342019190328
00734.png,20.23053687032149,21.108821140748965,15.905860993802744,14.736358588097925,15.812033040683238
00735.png,16.944772089625218,17.13748752456237,15.03727880481269,12.847360605562063,13.581457761741182
00736.png,16.98869979336936,17.184170067126004,15.066112484654733,12.852245858902664,13.58804523342598
00737.png,21.621649313256604,22.869704789383853,16.492587006665943,13.098090646706488,13.839020804537476
00738.png,21.692567716972935,22.848885085905152,16.135991111069906,12.902523003718132,13.603008250564265
00739.png,21.19660580531076,19.30881222912037,17.479507044685775,9.295700813508779,9.485635438563055
00740.png,21.1460937668009,19.270362539270614,17.437985290860126,9.281145270191862,9.469198710988472
00741.png,23.342829350926202,25.535308379314895,16.940703171788954,12.539897270907435,13.102437555579126
00742.png,19.149768370294613,19.036535246281613,17.635967317722013,9.14170578245632,9.238752306672191
00743.png,20.349318937524995,22.242230510834318,14.693988223561592,13.360453869213188,14.008713204153045
00744.png,26.513090875775656,26.31261231764674,17.913721835803976,11.557305757425008,11.939776508605139
00745.png,16.328277457071515,16.661451353675176,15.077177587991144,12.611002441044878,13.27928676343256
00746.png,16.35265069706978,16.680861170681524,15.041885273479636,12.53960727432213,13.195950801835163
00747.png,24.108594497554105,24.851485933440678,16.945702144658483,11.858661220943137,12.236007027731224
00748.png,24.322296889805774,25.025906964301704,17.06841890192423,11.911368844837412,12.295903126788302
00749.png,22.81412114319723,21.82389851912881,18.050915849629103,10.860604674230089,11.186910862123371
00750.png,24.396258321708665,22.861079356142856,18.65135015810313,10.536014916136121,10.819256852780821
