model,matched_files,psnr,ssim,mae,mse,rmse,lpips
DecomNetRetinexTapetumRGB,100,19.29382173752449,0.763161002103607,24.65751284122467,1009.2340449142456,29.81473291160146,0.3983228360116482
DecomNetRetinexTapetum,100,19.247315947791062,0.7734151010110066,24.762735619544983,997.915272064209,29.778478940737276,0.3669465677440166
RetinexNet,100,15.950394603752697,0.6524225625768534,0.13957374709,0.028365995596,0.1638553990228627,
RetinexTapetumRGB,100,12.41793611053629,0.42076192210422986,62.05260410308838,4733.098248901367,65.01858177895342,0.34109724961221216
RetinexTapetum,100,11.913059080424244,0.39421977397641284,64.88761785507202,5118.126762084961,68.15919563877577,0.3541473613679409
