image,DecomNetRetinexTapetum,DecomNetRetinexTapetumRGB,RetinexNet,RetinexTapetum,RetinexTapetumRGB
00690.png,0.2721959352493286,0.29520440101623535,,0.3542853891849518,0.3401789367198944
00691.png,0.26932114362716675,0.29378554224967957,,0.3543097674846649,0.3401726186275482
00692.png,0.3094450831413269,0.3513334095478058,,0.3584844470024109,0.3401526212692261
00693.png,0.3093287944793701,0.3626648783683777,,0.3583102524280548,0.3390340805053711
00694.png,0.30276215076446533,0.3486946225166321,,0.3717835247516632,0.35380256175994873
00695.png,0.30398476123809814,0.34664180874824524,,0.370496928691864,0.35297825932502747
00696.png,0.35598650574684143,0.3717029094696045,,0.5096532702445984,0.49289703369140625
00697.png,0.3560341000556946,0.3699227273464203,,0.5090503096580505,0.49226534366607666
00698.png,0.34482306241989136,0.3213008642196655,,0.6385698914527893,0.6270825266838074
00699.png,0.34979790449142456,0.32683125138282776,,0.6462015509605408,0.6347628831863403
00700.png,0.23491612076759338,0.24872827529907227,,0.23618680238723755,0.2321000099182129
00701.png,0.2327699065208435,0.24588347971439362,,0.23418274521827698,0.22997070848941803
00702.png,0.3924992084503174,0.4199663996696472,,0.5740423798561096,0.5638430118560791
00703.png,0.391294002532959,0.41972580552101135,,0.5712407827377319,0.5603275895118713
00704.png,0.39471080899238586,0.4210055470466614,,0.5762234330177307,0.5651607513427734
00705.png,0.4149903357028961,0.42969298362731934,,0.6710839867591858,0.6629842519760132
00706.png,0.4278276562690735,0.45134487748146057,,0.6753783822059631,0.6679757237434387
00707.png,0.4139614999294281,0.42969846725463867,,0.6667395830154419,0.6595010161399841
00708.png,0.327628493309021,0.3373764455318451,,0.49420416355133057,0.48512136936187744
00709.png,0.32307007908821106,0.3334020972251892,,0.473499059677124,0.46564170718193054
00710.png,0.2614612281322479,0.2725452482700348,,0.32860249280929565,0.3192339241504669
00711.png,0.2643945515155792,0.2734149098396301,,0.3280944526195526,0.3185785412788391
00712.png,0.2565639913082123,0.26493486762046814,,0.2741295099258423,0.280202716588974
00713.png,0.25890713930130005,0.2667655050754547,,0.27339377999305725,0.27952057123184204
00714.png,0.42506861686706543,0.47395870089530945,,0.20238912105560303,0.1826973855495453
00715.png,0.42137619853019714,0.46827471256256104,,0.19657698273658752,0.17765438556671143
00716.png,0.21591536700725555,0.2385760247707367,,0.2207142561674118,0.21245354413986206
00717.png,0.3122464418411255,0.33028852939605713,,0.6159044504165649,0.6048045754432678
00718.png,0.39699500799179077,0.445884644985199,,0.12683767080307007,0.11688144505023956
00719.png,0.3967673182487488,0.4454703629016876,,0.12233845889568329,0.11251859366893768
00720.png,0.27611613273620605,0.3105979263782501,,0.27779078483581543,0.2606266438961029
00721.png,0.2709691524505615,0.29891496896743774,,0.2719038724899292,0.2553757429122925
00722.png,0.4768263101577759,0.5338573455810547,,0.10719902068376541,0.09573051333427429
00723.png,0.48488742113113403,0.5400279760360718,,0.11043375730514526,0.09740385413169861
00724.png,0.6289209127426147,0.684809148311615,,0.23441612720489502,0.21251700818538666
00725.png,0.6324917078018188,0.687374472618103,,0.21885359287261963,0.19672000408172607
00726.png,0.6563826203346252,0.7061170935630798,,0.10714087635278702,0.08835413306951523
00727.png,0.6664314270019531,0.7086352705955505,,0.10716059803962708,0.09043966978788376
